"longitude","latitude","id_cells","period","sampling_effort","periods"
-78.139771,38.890175,1277,"present",17,2
-78.13977,38.890175,1277,"present",2,2
-78.139175,38.894661,1277,"present",5,2
-78.09935,38.7834,1277,"present",29,2
-78.026627,38.793007,1277,"present",1,2
-78.0102813,40.4847959,1405,"past",7,1
-77.980349,39.1502324,1320,"past",1,1
-77.97889,39.26538,1320,"present",25,2
-77.9739,39.1517,1320,"past",32,1
-77.956192,40.710247,1448,"present",7,2
-77.9480575,42.1220124,1577,"past",7,1
-77.9300261,40.9120051,1448,"past",18,1
-77.93,40.912,1448,"past",1,1
-77.93,40.91201,1448,"past",1,1
-77.906799,40.780937,1449,"present",2,2
-77.9033314,39.8278698,1363,"past",16,1
-77.90123,36.737128,1106,"past",2,1
-77.900278,36.734722,1106,"past",57,1
-77.874504,40.806526,1449,"present",5,2
-77.869308,40.925659,1449,"present",1,2
-77.8592,37.4621,1149,"past",20,1
-77.85681,39.7473,1363,"present",7,2
-77.8367,36.7571,1106,"past",3,1
-77.820496,42.79649,1620,"present",1,2
-77.80195,38.73462,1277,"present",1,2
-77.801949,38.734619,1277,"present",2,2
-77.798103,39.189709,1320,"present",1,2
-77.79791,39.222183,1320,"present",1,2
-77.789986,40.775406,1449,"present",8,2
-77.7738827,38.8620578,1277,"past",1,1
-77.740273,39.318905,1320,"present",1,2
-77.72,39.6418,1363,"past",21,1
-77.7199932,39.6417629,1363,"past",2,1
-77.71644,37.72685,1192,"present",27,2
-77.687134,38.863987,1278,"present",2,2
-77.677895,39.125767,1321,"present",2,2
-77.671898,39.134617,1321,"present",1,2
-77.66407,39.13485,1321,"present",2,2
-77.6611022,39.9375911,1363,"past",1,1
-77.6611,39.9376,1363,"past",1,1
-77.660278,37.443256,1149,"present",1,2
-77.6449804,36.5004281,1107,"past",1,1
-77.6088465,43.1565779,1663,"past",102,1
-77.6088,43.15658,1663,"past",3,1
-77.6088,43.1566,1663,"past",1,1
-77.60768,40.7111,1449,"present",11,2
-77.606995,43.142372,1663,"present",2,2
-77.598541,38.836849,1278,"present",2,2
-77.586662,43.139965,1663,"present",1,2
-77.577141,38.74696,1278,"present",8,2
-77.569374,39.747726,1363,"present",1,2
-77.554939,37.538078,1192,"present",2,2
-77.52739,37.52118,1192,"present",1,2
-77.507004,39.75843,1364,"present",4,2
-77.47998,37.759033,1192,"present",1,2
-77.47716,37.76073,1192,"present",2,2
-77.47235,38.68992,1278,"present",53,2
-77.470818,37.620075,1192,"present",2,2
-77.462791,43.0852930000001,1663,"present",1,2
-77.454666,37.545116,1192,"present",5,2
-77.422592,39.427605,1321,"present",4,2
-77.403358,39.615498,1364,"present",1,2
-77.402229,37.491859,1193,"present",1,2
-77.396049,43.158978,1663,"present",1,2
-77.357056,38.920872,1278,"present",10,2
-77.34788,39.17128,1321,"present",51,2
-77.341675,38.9262499999999,1321,"present",1,2
-77.340401,39.247299,1321,"present",11,2
-77.3404,39.2473,1321,"present",2,2
-77.3361,37.44405,1193,"present",1,2
-77.334404,39.786205,1364,"present",2,2
-77.32963,38.845295,1278,"present",2,2
-77.329628,38.845295,1278,"present",10,2
-77.30556,40.031715,1407,"present",2,2
-77.296486,38.821663,1278,"present",1,2
-77.29625,38.82183,1278,"present",1,2
-77.25643,43.05184,1664,"present",2,2
-77.247803,39.0019759999999,1321,"present",2,2
-77.2478,39.001976,1321,"present",1,2
-77.24479,39.006413,1321,"present",2,2
-77.242874,38.815659,1278,"present",2,2
-77.2311,39.8309,1364,"past",33,1
-77.2310955,39.8309293,1364,"past",32,1
-77.22174,39.65256,1364,"present",22,2
-77.215584,38.767632,1278,"present",4,2
-77.19814,38.91819,1321,"present",1,2
-77.196671,40.202297,1407,"present",4,2
-77.19667,40.202297,1407,"present",2,2
-77.1945247,40.2086,1407,"past",3,1
-77.131508,38.970875,1321,"present",2,2
-77.12635,40.1502650000001,1407,"present",2,2
-77.12537,40.148293,1407,"present",2,2
-77.125366,40.148293,1407,"present",2,2
-77.12468,39.077477,1321,"present",1,2
-77.121925,40.16148,1407,"present",2,2
-77.119751,38.967636,1321,"present",1,2
-77.117416,39.0653190000001,1321,"present",1,2
-77.116959,40.178272,1407,"present",10,2
-77.105873,39.115051,1321,"present",1,2
-77.10305,39.849152,1364,"present",1,2
-77.095146,39.009678,1321,"present",20,2
-77.09391,40.13379,1407,"present",19,2
-77.081757,39.140881,1321,"present",1,2
